prefix_id,supplier_id,group_line_code,group_line_name,status_id,created_on,created_by,updated_on,updated_by
8,,10213,LAMBORGHINI,1,,,,
8,,10214,LANCASTER,1,,,,
8,,10215,LANCEL,1,,,,
8,,10216,LANCETTI MOOD,1,,,,
8,,10217,LANCOME,1,,,,
8,,10218,LANVIN,1,,,,
8,,10219,LE ROCK,1,,,,
8,,10220,LEONARD,1,,,,
8,,10221,LES PARFUMS,1,,,,
8,,10222,LIZ CLAIBORNE,1,,,,
8,,10223,LONGINES,1,,,,
8,,10224,LOONEY TUNES,1,,,,
8,,10225,L'OR,1,,,,
8,,10226,LOTTO,1,,,,
8,,10227,LOUIS JAMAIN,1,,,,
8,,10228,LUXENTER,1,,,,
8,,10229,LWREN SCOTT,1,,,,
8,,10230,MAC BAREN,1,,,,
8,,10231,MADAME GRES,1,,,,
8,,10232,MADISON ,1,,,,
8,,10233,MADISON NEW YORK,1,,,,
8,,10234,MALIPARMI,1,,,,
8,,10235,MARBERT,1,,,,
8,,10236,MARC JACOB,1,,,,
8,,10237,MARC ROZIER,1,,,,
8,,10238,MARINER,1,,,,
8,,10239,MASSOIA,1,,,,
8,,10240,MATRA HORLOGERIE,1,,,,
8,,10241,MAUBOUSSIN,1,,,,
8,,10242,MEDIMA,1,,,,
8,,10243,MENRAD,1,,,,
8,,10244,MERCEDES BENZ,1,,,,
8,,10245,MICHAEL JORDAN,1,,,,
8,,10246,MICHAEL KORS,1,,,,
8,,10247,MILTON LLOYD,1,,,,
8,,10248,MISAKI,1,,,,
8,,10249,MON ART,1,,,,
8,,10250,MONACO,1,,,,
8,,10251,MONTANA,1,,,,
8,,10252,MORGAN,1,,,,
8,,10253,MOSCHINO,1,,,,
8,,10254,MOSER,1,,,,
8,,10255,MOVADO WATCHES,1,,,,
8,,10256,MY TORRENTE,1,,,,
8,,10257,NANNINI,1,,,,
8,,10258,NARCISO RODRIGUEZ,1,,,,
8,,10259,NINA RICCI,1,,,,
8,,10260,NINO DANIELI,1,,,,
8,,10261,NOBILE,1,,,,
8,,10262,OLRI,1,,,,
8,,10263,OMAS,1,,,,
8,,10264,OMEGA,1,,,,
8,,10265,ONYRICO,1,,,,
8,,10266,OXETTE,1,,,,
8,,10267,OXFORD,1,,,,
8,,10268,PACO RABANNE,1,,,,
8,,10269,PALC,1,,,,
8,,10270,PAPARAZZI,1,,,,
8,,10271,PARAH,1,,,,
8,,10272,PAUL SMITH,1,,,,
8,,10273,PENGUIN,1,,,,
8,,10274,PENOTTI,1,,,,
8,,10275,PENTHOUSE,1,,,,
8,,10276,PEPPERIDGE FARM,1,,,,
8,,10277,PERRY ELLIS,1,,,,
8,,10278,PFANNER,1,,,,
8,,10279,PICARD,1,,,,
8,,10280,PIERRE BALMAIN,1,,,,
8,,10281,PIERRE CARDIN,1,,,,
8,,10282,PIERRE CLARENCE,1,,,,
8,,10283,POIRAY,1,,,,
8,,10284,PORSCHE,1,,,,
8,,10285,POUTY LIPZZ,1,,,,
8,,10286,POWER PUFF,1,,,,
8,,10287,PRADA,1,,,,
8,,10288,PREGO,1,,,,
8,,10289,PREMIERE,1,,,,
8,,10290,PREMIERE NOTE,1,,,,
8,,10291,PRIVATE,1,,,,
8,,10292,PUPA,1,,,,
8,,10293,RALPH LAUREN,1,,,,
8,,10294,RASNA,1,,,,
8,,10295,RAYMOND WEIL,1,,,,
8,,10296,REBECCA,1,,,,
8,,10297,RENE LEZARD,1,,,,
8,,10298,REVILLON,1,,,,
8,,10299,REVUE THOMMEN,1,,,,
8,,10300,REYLAN S. A.,1,,,,
8,,10301,RIZLA,1,,,,
8,,10302,ROBERTO CAVALLI,1,,,,
8,,10303,ROMA,1,,,,
8,,10304,RONSON,1,,,,
8,,10305,ROSSI,1,,,,
8,,10306,ROYAL,1,,,,
8,,10307,ROYAL DOULTON ,1,,,,
8,,10308,RUE PRINCESSE,1,,,,
8,,10309,SAMBA,1,,,,
8,,10310,SCAPA ,1,,,,
8,,10311,SCHNEIDER,1,,,,
8,,10312,SCHNEIDER'S VIENNA,1,,,,
8,,10313,SENSAI,1,,,,
8,,10314,SHEAFFER ,1,,,,
8,,10315,SHISEIDO,1,,,,
8,,10316,SILCAT,1,,,,
8,,10317,SLAVIA,1,,,,
8,,10318,SMART,1,,,,
8,,10319,SONIA FORTUNA,1,,,,
8,,10320,SONIA RYKIEL,1,,,,
8,,10321,SPAZIO ,1,,,,
8,,10322,SPONGEBOB SQUAREPANTS,1,,,,
8,,10323,ST. HILAIRE,1,,,,
8,,10324,STAHL,1,,,,
8,,10325,STANLEY,1,,,,
8,,10326,STARWALKER,1,,,,
8,,10327,SUCCESS BY TRUMP,1,,,,
8,,10328,SWANK,1,,,,
8,,10329,SWAROVSKI,1,,,,
8,,10330,SWEET YEARS,1,,,,
8,,10331,TABOO,1,,,,
8,,10332,TCHIBO,1,,,,
8,,10333,TED LAPIDUS,1,,,,
8,,10334,TEMPORE,1,,,,
8,,10335,TEO CABANEL,1,,,,
8,,10336,THEODOR HELD ,1,,,,
8,,10337,THIERRY MUGLER,1,,,,
8,,10338,TOM FORD,1,,,,
8,,10339,TOMMY HILFIGER,1,,,,
8,,10340,TONI GARD,1,,,,
8,,10341,TOUCH,1,,,,
8,,10342,TRUSSARDI,1,,,,
8,,10343,TWIST,1,,,,
8,,10344,UGO VANELLI,1,,,,
8,,10345,UNGARO,1,,,,
8,,10346,USHER,1,,,,
8,,10347,V CANTO,1,,,,
8,,10348,V8,1,,,,
8,,10349,VALENTINA,1,,,,
8,,10350,VALENTINO,1,,,,
8,,10351,VALOR,1,,,,
8,,10352,VERSACE,1,,,,
8,,10353,VERSUS,1,,,,
8,,10354,VIDAL,1,,,,
8,,10355,VILLIGER,1,,,,
8,,10356,VON EICKEN,1,,,,
8,,10357,VUARNET,1,,,,
8,,10358,WANTED BY JESSE,1,,,,
8,,10359,WENGER,1,,,,
8,,10360,WEST,1,,,,
8,,10361,WINX FAIRY COUTURE,1,,,,
8,,10362,WINX GIFT,1,,,,
8,,10363,WOODY WOOD PECKER,1,,,,
8,,10364,YES FOR LOVE,1,,,,
8,,10365,YSL,1,,,,
8,,10366,YUJIN,1,,,,
8,,10367,ZEADES,1,,,,
8,,10368,ZEE,1,,,,
8,,10369,ZEISS,1,,,,
8,,10370,ZIG ZAG ,1,,,,
8,,10371,ZINO DAVIDOFF,1,,,,
