item_code_id,item_code,location_code_id,opening_stock,closing_stock
,287163,1,22768,22768
,287164,1,21172,21172
,287127,1,262,262
,287165,1,169980,169980
,287128,1,70077,70077
,3888007,1,19220,19220
,287130,1,17312,17312
,287131,1,4771,4771
,287151,1,254,254
,287152,1,240,240
,366720,1,0,0
,287132,1,5589,5589
,287104,1,56,56
,287107,1,28,28
,28786N,1,12630,12630
,287133,1,11,11
,3888008,1,19,19
,3881201,1,59200,59200
,3881202,1,132050,132050
,3881203,1,187240,187240
,366721,1,780,780
,287134,1,2116,2116
,382412A,1,24,24
,382414A,1,505,505
,382508A,1,532,532
,382405B,1,53,53
,382408B,1,269,269
,382409B,1,298,298
,382202C,1,4,4
,382400A,1,697,697
,382401A,1,1805,1805
,382404A,1,39,39
,382406A,1,384,384
,382409C,1,850,850
,382410A,1,192,192
,382411A,1,24,24
,287135,1,5,5
,287136,1,7,7
,287163C,1,1,1
,287138,1,10476,10476
,287168,1,74,74
,199080001,1,0,0
,199080004,1,0,0
,199080006,1,0,0
,199080007,1,0,0
,199080009,1,0,0
,199060014,1,0,0
,199060017,1,0,0
,199030034,1,0,0
,287198,1,16710,16710
,287199,1,13056,13056
,287169,1,235,235
,287170,1,5936,5936
,287139,1,252,252
,39520002,1,235,235
,39520004,1,199,199
,39520009,1,8,8
,39519503,1,13,13
,39519508,1,185,185
,366722,1,0,0
,39550524,1,1378,1378
,39550511,1,618,618
,39550507,1,615,615
,39572487,1,541,541
,39550594,1,1633,1633
,39556621,1,2410,2410
,287201,1,12567,12567
,287280,1,1143,1143
,287281,1,12,12
,287282,1,1522,1522
,287283,1,355,355
,287284,1,293,293
,287285,1,622,622
,287286,1,169,169
,287287,1,233,233
,287288,1,22078,22078
,384497299,1,2629,2629
,2134920,1,357150,357150
,39550507A,1,53,53
,39550511A,1,3,3
,39556621A,1,122,122
,384482101,1,110,110
,287158,1,965,965
,287159,1,18,18
,395155211,1,22,22
,395155231,1,73,73
,395155221,1,9,9
,28770D,1,5715,5715
,28783D,1,374,374
,39550501,1,1126,1126
,287241,1,33,33
,395195151,1,30,30
,395195141,1,68,68
,384476726B,1,23,23
,287158F,1,1943,1943
,287159D,1,628,628
,RI-958,1,338430,338430
,RI-962,1,435520,435520
,RI-963,1,356270,356270
,3881206,1,1550,1550
,384491539,1,17,17
,2134917,1,30250,30250
,39520004A,1,434,434
,39572487A,1,9,9
,28770E,1,48,48
,384476760J,1,1,1
,30131001,1,4475,4475
,30131002,1,5,5
,30132001,1,1099,1099
,30132002,1,80,80
,30133001,1,288,288
,30133002,1,505,505
,30133003,1,502,502
,30134001,1,155,155
,30134002,1,443,443
,30134003,1,15,15
,30134004,1,9,9
,30134005,1,428,428
,30134006,1,1,1
,30135001,1,1074,1074
,30135002,1,361,361
,30136001,1,747,747
,30136002,1,54,54
,384505773,1,430,430
,287222,1,14180,14180
,287223,1,97,97
,287225,1,11430,11430
,287226,1,17,17
,287163D,1,51,51
,287227,1,180,180
,384508877,1,613,613
,384508881,1,660,660
,287228,1,4,4
,287229,1,21,21
,287230,1,13,13
,287231,1,87,87
,287171,1,3,3
,287225A,1,13,13
,38810235,1,5574,5574
,38810236,1,5574,5574
,287163E,1,176,176
,300801001C,1,99,99
,3008010007C,1,15,15
,3008010003C,1,467,467
,3008010002C,1,492,492
,28783G,1,42,42
,28720D,1,375,375
