item_code_id,most_recent_cost,average_cost,most_recent_landed_cost,currency_id,opening_average_cost,last_issued_date,wholesale_price,retail_price,vansale_price,reorder_qty,created_on,created_by,updated_on,updated_by
342,367.2000,367.200,367.200,6,367.2000,,540.00,540.00,540.00,,,,,
343,342.0400,342.040,342.040,6,342.0400,,503.00,503.00,503.00,,,,,
344,480.0800,480.080,480.080,6,480.0800,,706.00,706.00,706.00,,,,,
345,145.5200,145.520,145.520,6,145.5200,,214.00,214.00,214.00,,,,,
346,235.9600,235.960,235.960,6,235.9600,,347.00,347.00,347.00,,,,,
347,136.0000,136.000,136.000,6,136.0000,,200.00,200.00,200.00,,,,,
348,139.4000,139.400,139.400,6,139.4000,,205.00,205.00,205.00,,,,,
349,151.6400,151.640,151.640,6,151.6400,,223.00,223.00,223.00,,,,,
350,136.0000,136.000,136.000,6,136.0000,,200.00,200.00,200.00,,,,,
351,163.8800,163.880,163.880,6,163.8800,,241.00,241.00,241.00,,,,,
352,158.4400,158.440,158.440,6,158.4400,,233.00,233.00,233.00,,,,,
353,256.3600,256.360,256.360,6,256.3600,,377.00,377.00,377.00,,,,,
354,367.2000,367.200,367.200,6,367.2000,,540.00,540.00,540.00,,,,,
355,256.3600,256.360,256.360,6,256.3600,,377.00,377.00,377.00,,,,,
356,367.2000,367.200,367.200,6,367.2000,,540.00,540.00,540.00,,,,,
357,282.8800,282.880,282.880,6,282.8800,,416.00,416.00,416.00,,,,,
358,397.8000,397.800,397.800,6,397.8000,,585.00,585.00,585.00,,,,,
359,491.6400,491.640,491.640,6,491.6400,,723.00,723.00,723.00,,,,,
360,256.3600,256.360,256.360,6,256.3600,,377.00,377.00,377.00,,,,,
361,367.2000,367.200,367.200,6,367.2000,,540.00,540.00,540.00,,,,,
362,451.5200,451.520,451.520,6,451.5200,,664.00,664.00,664.00,,,,,
363,451.5200,451.520,451.520,6,0.0000,,664.00,664.00,664.00,,,,,
364,316.8800,316.880,316.880,6,316.8800,,466.00,466.00,466.00,,,,,
365,316.8800,316.880,316.880,6,316.8800,,466.00,466.00,466.00,,,,,
366,448.1200,448.120,448.120,6,448.1200,,659.00,659.00,659.00,,,,,
367,146.2000,146.200,146.200,6,146.2000,,215.00,215.00,215.00,,,,,
368,158.4400,158.440,158.440,6,158.4400,,233.00,233.00,233.00,,,,,
369,256.3600,256.360,256.360,6,256.3600,,377.00,377.00,377.00,,,,,
